1               1                   
2               441                 
3               3175                
4               3176                
5               3176                
6               3174                
7               3176                
8               3175                
9               3175                
10              3176                
11              3176                
12              3175                
13              3176                
14              3176                
15              3175                
16              3176                
17              3174                
18              3176                
19              3175                
20              3176                
21              3176                
22              3176                
23              3175                
24              3176                
25              3176                
26              3176                
27              3176                
28              3176                
29              3176                
30              3176                
31              3176                
32              3175                
33              3176                
34              3175                
35              3176                
36              3176                
37              3175                
38              3176                
39              3176                
40              3176                
41              3176                
42              3176                
43              3176                
44              3176                
45              3175                
46              3176                
47              3176                
48              3176                
49              3176                
50              3175                
51              3176                
52              3176                
53              3175                
54              3176                
55              3176                
56              3176                
57              3176                
58              3176                
59              3176                
60              3176                
60              3175  
