Day Number      Susceptible Nodes Count   Infected Nodes Count
1               1929                      1                   
2               1659                      271                 
3               3                         1927                
4               2                         1928                
5               2                         1928                
6               2                         1928                
7               2                         1928                
8               2                         1928                
9               2                         1928                
10              2                         1928                
11              2                         1928                
12              3                         1927                
13              2                         1928                
14              3                         1927                
15              2                         1928                
16              2                         1928                
17              2                         1928                
18              2                         1928                
19              4                         1926                
20              4                         1926                
21              2                         1928                
22              4                         1926                
23              3                         1927                
24              2                         1928                
25              3                         1927                
26              3                         1927                
27              2                         1928                
28              3                         1927                
29              2                         1928                
30              2                         1928                
31              2                         1928                
32              2                         1928                
33              3                         1927                
34              3                         1927                
35              4                         1926                
36              2                         1928                
37              3                         1927                
38              2                         1928                
39              2                         1928                
40              2                         1928                
41              3                         1927                
42              3                         1927                
43              3                         1927                
44              2                         1928                
45              3                         1927                
46              2                         1928                
47              2                         1928                
48              3                         1927                
49              3                         1927                
50              2                         1928                
51              4                         1926                
52              2                         1928                
53              2                         1928                
54              3                         1927                
55              2                         1928                
56              2                         1928                
57              2                         1928                
58              2                         1928                
59              2                         1928                
60              2                         1928                
60              2                         1928              

